pred_thd,topo_thd,num,recall,density
0.5,0.0,53553,91.38240574506284,0.9504602916736691
0.5,0.1,47729,87.61220825852783,1.022439187915104
0.5,0.2,36275,72.89048473967684,1.1192281185389386
0.5,0.3,22995,52.244165170556556,1.2654924983692106
0.7,0.0,39584,87.25314183123878,1.2277687954729184
0.7,0.1,35001,82.2262118491921,1.3085340418845177
0.7,0.2,25628,67.50448833034112,1.4671453098173872
0.7,0.3,15586,49.012567324955114,1.7515719235211087
0.9,0.0,20453,73.78815080789947,2.009485161101061
0.9,0.1,17748,68.58168761220826,2.152355194951544
0.9,0.2,12018,57.09156193895871,2.6460309535696456
0.9,0.3,6970,40.57450628366247,3.242467718794835
0.95,0.0,12710,60.86175942549371,2.6671911880409125
0.95,0.1,10791,56.552962298025136,2.9190992493744785
0.95,0.2,6991,46.49910233393178,3.704763267057645
0.95,0.3,3911,33.931777378815084,4.832523651240092
0.98,0.0,4688,33.75224416517056,4.010238907849829
0.98,0.1,3683,31.05924596050269,4.69725767037741
0.98,0.2,2246,25.134649910233392,6.233303650934995
0.98,0.3,1158,16.696588868940754,8.031088082901555
0.99,0.0,613,5.385996409335727,4.893964110929853
